,Nb sommets,Nb aretes,Time_limit,Statut_exp,Statut_CP,Statut_CPM,Statut_Martin,Statut_cycle,Objectif_exp,Objectif_CP,Objectif_CPM,Objectif_Martin,Objectif_cycle,Ecriture_exp,Ecriture_CP,Ecriture_CPM,Ecriture_Martin,Ecriture_cycle,Resolution_exp,Resolution_CP,Resolution_CPM,Resolution_Martin,Resolution_cycle
Spd_RF2_20_27_211,20,27,167,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,196.94833755493164,0.00606536865234375,0.09099245071411133,0.04011845588684082,1.0,42.393593311309814,0.0711514949798584,0.21954059600830078,0.1112215518951416,0.3325505256652832
Spd_RF2_20_27_219,20,27,167,1.0,1,1.0,1.0,1.0,2.0,2,2.0,2.0,3.0,203.05827832221985,0.005039691925048828,0.09564065933227539,0.05891227722167969,2.0,43.06570553779602,0.05672168731689453,0.22266817092895508,0.23123431205749512,0.2973141670227051
Spd_RF2_20_27_227,20,27,167,,1,1.0,1.0,1.0,,2,2.0,1.0,2.0,,0.00603795051574707,0.07392001152038574,0.03644919395446777,1.0,,0.05610322952270508,0.523118257522583,0.13120007514953613,0.27387380599975586
Spd_RF2_20_27_235,20,27,167,,1,1.0,1.0,1.0,,3,3.0,3.0,3.0,,0.006010770797729492,0.0425410270690918,0.02695631980895996,2.0,,0.05549740791320801,0.14057374000549316,0.12154316902160645,0.3560197353363037
Spd_RF2_20_27_243,20,27,167,,1,1.0,1.0,1.0,,4,4.0,4.0,4.0,,0.006005764007568359,0.04214930534362793,0.026694774627685547,2.0,,0.05336427688598633,0.14092445373535156,0.139678955078125,0.3148353099822998
Spd_RF2_20_34_251,20,34,174,,1,1.0,1.0,1.0,,1,1.0,1.0,1.0,,0.006002187728881836,0.05091547966003418,0.0339055061340332,1.0,,0.06663203239440918,0.20248866081237793,0.1616230010986328,0.3452877998352051
Spd_RF2_20_34_259,20,34,174,,1,1.0,1.0,1.0,,1,1.0,1.0,1.0,,0.006009817123413086,0.051312923431396484,0.030599355697631836,1.0,,0.08044767379760742,0.18385934829711914,0.14784836769104004,0.3310892581939697
Spd_RF2_20_34_267,20,34,174,,1,1.0,1.0,1.0,,1,1.0,1.0,3.0,,0.007690906524658203,0.054038286209106445,0.03136563301086426,2.0,,0.09266400337219238,0.44478750228881836,0.18572521209716797,0.3995547294616699
Spd_RF2_20_34_275,20,34,174,,1,1.0,1.0,1.0,,2,2.0,2.0,2.0,,0.006514310836791992,0.053089141845703125,0.032045602798461914,2.0,,0.07321667671203613,0.20214033126831055,0.17060399055480957,0.4308762550354004
Spd_RF2_20_34_283,20,34,174,,1,1.0,1.0,1.0,,1,1.0,1.0,1.0,,0.005999088287353516,0.05793285369873047,0.03235268592834473,1.0,,0.06394696235656738,0.1776742935180664,0.17418289184570312,0.3558988571166992
