,Nb sommets,Nb aretes,Time_limit,Statut_exp,Statut_CP,Statut_CPM,Statut_Martin,Statut_cycle,Objectif_exp,Objectif_CP,Objectif_CPM,Objectif_Martin,Objectif_cycle,Ecriture_exp,Ecriture_CP,Ecriture_CPM,Ecriture_Martin,Ecriture_cycle,Resolution_exp,Resolution_CP,Resolution_CPM,Resolution_Martin,Resolution_cycle
Spd_RF2_100_114_1811,100,114,334,,1,1,1,,,26,26,26,,,0.05506563186645508,0.920640230178833,0.63309645652771,,,0.34197139739990234,3.3097596168518066,4.236124038696289,
Spd_RF2_100_114_1819,100,114,334,,1,1,1,,,23,23,22,,,0.03860306739807129,0.913245439529419,0.5495121479034424,,,0.26214051246643066,2.5512852668762207,5.027211904525757,
Spd_RF2_100_114_1827,100,114,334,,1,1,1,,,23,23,23,,,0.03900432586669922,0.8784406185150146,0.565803050994873,,,0.27509045600891113,2.948829174041748,5.937379360198975,
Spd_RF2_100_114_1835,100,114,334,,1,1,1,,,23,23,23,,,0.042017459869384766,0.8866298198699951,0.5932018756866455,,,0.24874281883239746,1.985738754272461,5.679292678833008,
Spd_RF2_100_114_1843,100,114,334,,1,1,1,,,24,24,24,,,0.04011893272399902,0.8595726490020752,0.5983254909515381,,,0.45583271980285645,4.705082416534424,7.215898752212524,
Spd_RF2_100_129_1851,100,129,349,,1,1,1,,,18,18,18,,,0.043003082275390625,1.0270061492919922,0.6678709983825684,,,0.6538863182067871,36.450188398361206,37.15105199813843,
Spd_RF2_100_129_1859,100,129,349,,1,1,1,,,16,16,15,,,0.04686927795410156,1.0191092491149902,0.6495392322540283,,,0.8320267200469971,23.71991539001465,16.890737295150757,
Spd_RF2_100_129_1867,100,129,349,,1,1,1,,,17,17,17,,,0.054277658462524414,1.0171358585357666,0.6717257499694824,,,0.5468454360961914,6.659804821014404,18.20954418182373,
Spd_RF2_100_129_1875,100,129,349,,1,1,1,,,16,16,16,,,0.04098916053771973,1.0000910758972168,0.6557750701904297,,,0.26552724838256836,33.55067324638367,44.26750683784485,
Spd_RF2_100_129_1883,100,129,349,,1,1,1,,,15,15,15,,,0.055657386779785156,1.0279827117919922,0.632887601852417,,,0.4966428279876709,4.5880749225616455,22.75587296485901,
Spd_RF2_100_144_1891,100,144,364,,1,1,1,,,12,12,12,,,0.04552507400512695,1.1454062461853027,0.7175357341766357,,,0.8374884128570557,167.43970441818237,54.458507776260376,
Spd_RF2_100_144_1899,100,144,364,,1,1,1,,,11,11,10,,,0.04858541488647461,1.1055078506469727,0.7070608139038086,,,1.4825973510742188,209.59149479866028,273.0222771167755,
Spd_RF2_100_144_1907,100,144,364,,1,1,1,,,14,14,14,,,0.052274465560913086,1.1245934963226318,1.3325235843658447,,,0.8125252723693848,11.767263412475586,64.14266467094421,
Spd_RF2_100_144_1915,100,144,364,,1,1,1,,,9,9,8,,,0.04658317565917969,1.187349796295166,2.0712828636169434,,,0.7460393905639648,63.91480731964111,115.58926606178284,
Spd_RF2_100_144_1923,100,144,364,,1,1,1,,,13,13,13,,,0.047052860260009766,1.169041395187378,1.8923587799072266,,,0.9728438854217529,91.91533303260803,52.004432916641235,
Spd_RF2_100_159_1931,100,159,379,,1,1,1,,,8,8,8,,,0.05218029022216797,1.211609125137329,0.829432487487793,,,0.9625813961029053,127.81733012199402,123.71203255653381,
Spd_RF2_100_159_1939,100,159,379,,1,1,1,,,9,9,9,,,0.05761432647705078,1.182356834411621,1.278808355331421,,,1.1646435260772705,128.18168020248413,156.63904190063477,
Spd_RF2_100_159_1947,100,159,379,,1,1,1,,,7,7,7,,,0.05112743377685547,1.169978141784668,0.7451295852661133,,,4.01371955871582,192.90896034240723,167.92880201339722,
Spd_RF2_100_159_1955,100,159,379,,1,1,1,,,8,8,8,,,0.06527924537658691,1.169154405593872,0.8647167682647705,,,1.1261847019195557,231.91097116470337,72.74994421005249,
Spd_RF2_100_159_1963,100,159,379,,1,1,1,,,10,10,10,,,0.06805181503295898,1.1750929355621338,0.8046424388885498,,,0.568744421005249,80.6843273639679,120.80659675598145,
Spd_RF2_100_174_1971,100,174,394,,1,1,1,,,6,6,6,,,0.0685272216796875,1.319796085357666,0.865429162979126,,,2.0302634239196777,310.4053521156311,76.39662718772888,
Spd_RF2_100_174_1979,100,174,394,,1,1,1,,,6,6,6,,,0.06111931800842285,1.3895368576049805,0.8451662063598633,,,4.054330587387085,889.8196296691895,395.1682975292206,
Spd_RF2_100_174_1987,100,174,394,,1,1,1,,,8,8,9,,,0.053192138671875,1.3109166622161865,0.8647754192352295,,,1.6628437042236328,550.69824385643,395.27698016166687,
Spd_RF2_100_174_1995,100,174,394,,1,1,1,,,7,7,7,,,0.07687568664550781,1.3045198917388916,0.8770735263824463,,,1.2311069965362549,239.276437997818,283.30183696746826,
Spd_RF2_100_174_2003,100,174,394,,1,1,1,,,4,4,4,,,0.05269360542297363,1.4442005157470703,0.8132257461547852,,,1.6263096332550049,94.16107845306396,137.70484519004822,
Spd_RF2_120_136_2211,120,136,376,,1,1,1,,,30,30,30,,,0.048127174377441406,1.3331079483032227,0.8976459503173828,,,0.22995781898498535,4.328538417816162,4.917393684387207,
Spd_RF2_120_136_2219,120,136,376,,1,1,1,,,29,29,29,,,0.05468583106994629,1.3472096920013428,0.8113293647766113,,,0.5227456092834473,2.738074541091919,13.145002841949463,
Spd_RF2_120_136_2227,120,136,376,,1,1,1,,,29,29,29,,,0.053681135177612305,1.3883421421051025,0.8721919059753418,,,0.3654603958129883,4.921739339828491,8.479418992996216,
Spd_RF2_120_136_2235,120,136,376,,1,1,1,,,30,30,30,,,0.046610355377197266,1.3914551734924316,0.8622167110443115,,,0.33737945556640625,22.778794527053833,31.611388683319092,
Spd_RF2_120_136_2243,120,136,376,,1,1,1,,,30,30,30,,,0.06505107879638672,1.340355634689331,0.9167823791503906,,,0.6689929962158203,5.8615641593933105,7.9414732456207275,
Spd_RF2_120_152_2251,120,152,392,,1,1,1,,,21,21,21,,,0.05365562438964844,1.4515786170959473,0.9506020545959473,,,0.8777222633361816,18.009589672088623,63.80782198905945,
Spd_RF2_120_152_2259,120,152,392,,1,1,1,,,22,22,22,,,0.05252718925476074,1.4218871593475342,0.9156253337860107,,,0.6834437847137451,4.926908493041992,49.28459024429321,
Spd_RF2_120_152_2267,120,152,392,,1,1,1,,,22,22,22,,,0.05453610420227051,1.4759821891784668,0.9541215896606445,,,0.622581958770752,50.99559497833252,64.23322415351868,
Spd_RF2_120_152_2275,120,152,392,,1,1,1,,,21,21,20,,,0.06765556335449219,1.451664686203003,0.9281747341156006,,,0.68001389503479,56.55241370201111,67.20950603485107,
Spd_RF2_120_152_2283,120,152,392,,1,1,1,,,23,23,23,,,0.06871223449707031,1.4711461067199707,0.9696567058563232,,,0.4154670238494873,12.283324718475342,68.73306655883789,
Spd_RF2_120_169_2291,120,169,409,,1,1,1,,,17,17,17,,,0.09259867668151855,1.6495683193206787,1.019148826599121,,,1.4120731353759766,413.5904338359833,152.17403435707092,
Spd_RF2_120_169_2299,120,169,409,,1,1,1,,,16,16,16,,,0.05553889274597168,2.689574718475342,1.0629870891571045,,,1.096074104309082,358.7543156147003,209.27907252311707,
Spd_RF2_120_169_2307,120,169,409,,1,1,1,,,14,14,15,,,0.054524898529052734,2.208235263824463,1.01002836227417,,,0.9601802825927734,280.101149559021,410.39379692077637,
Spd_RF2_120_169_2315,120,169,409,,1,1,1,,,17,17,17,,,0.05640602111816406,1.898174524307251,1.012882947921753,,,5.366941452026367,2731.142063140869,210.85491013526917,
Spd_RF2_120_169_2323,120,169,409,,1,1,1,,,16,16,16,,,0.06617593765258789,3.2174689769744873,1.0135488510131836,,,1.5050511360168457,9.976372957229614,71.37557363510132,
Spd_RF2_120_185_2331,120,185,425,,1,1,1,,,11,12,12,,,0.07258725166320801,1.7978973388671875,1.2405920028686523,,,8.926944971084595,612.1892726421356,426.62475204467773,
Spd_RF2_120_185_2339,120,185,425,,1,1,1,,,12,14,12,,,0.062053680419921875,1.7456958293914795,1.089081048965454,,,2.8566102981567383,612.3138236999512,426.509480714798,
Spd_RF2_120_185_2347,120,185,425,,1,1,1,,,13,13,13,,,0.07653331756591797,1.83609938621521,1.10831880569458,,,0.9843156337738037,225.59289240837097,426.4980483055115,
Spd_RF2_120_185_2355,120,185,425,,1,1,1,,,10,11,10,,,0.062067508697509766,2.2120521068573,1.1405718326568604,,,1.60866379737854,612.6205422878265,426.52948021888733,
Spd_RF2_120_185_2363,120,185,425,,1,1,1,,,12,14,12,,,0.060004472732543945,3.584841012954712,1.1793508529663086,,,2.443073034286499,613.082099199295,281.6413598060608,
Spd_RF2_120_202_2371,120,202,442,,1,1,1,,,7,9,8,,,0.07646584510803223,3.9143357276916504,1.1754050254821777,,,16.01816201210022,647.330325126648,443.693412065506,
Spd_RF2_120_202_2379,120,202,442,,1,1,1,,,12,14,13,,,0.0631551742553711,3.0616250038146973,1.225520133972168,,,3.0014052391052246,647.3015179634094,444.0155825614929,
Spd_RF2_120_202_2387,120,202,442,,1,1,1,,,8,10,9,,,0.06262397766113281,2.928650140762329,1.8745579719543457,,,5.778028726577759,647.4732961654663,444.44634652137756,
